core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,depth,tex86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,bit,publicationYear,reference_name,remark,reference_link
KH01-3 St. 10,GC,0,1,-47,-160,5118,0.442,0.426,0.053,0.028,0.003,0.479,0.011,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH01-3 St. 19,GC,0,1,-50,140,3755,0.459,0.432,0.046,0.025,0.003,0.484,0.011,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH04-5 SX15,GC,0,1,-45,-170,5165,0.461,0.419,0.055,0.033,0.003,0.479,0.011,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH04-5 SX16,GC,0,1,-43.1833,-171,2313,0.52,0.384,0.059,0.047,0.004,0.494,0.013,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH04-5 SX17,GC,0,1,-40,-170,4635,0.521,0.388,0.056,0.043,0.003,0.494,0.015,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH03-1 HY08,GC,0,1,-3.9667,-95,3657,0.575,0.359,0.068,0.062,0.004,0.48,0.026,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH01-3 St. 08,GC,0,1,-35,-160,5098,0.574,0.365,0.058,0.051,0.003,0.498,0.024,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH03-1 HY07,GC,0,1,-2.0333,-95,3331,0.588,0.342,0.066,0.059,0.006,0.499,0.029,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH03-1 HY08B,GC,0,1,-5.95,-94.9167,3852,0.587,0.369,0.062,0.055,0.006,0.482,0.027,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH03-1 HY03,GC,0,1,8.0333,-94.95,3661,0.594,0.34,0.063,0.059,0.007,0.506,0.026,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH03-1 HY04,GC,0,1,4.0333,-95.05,3563,0.599,0.345,0.067,0.063,0.006,0.49,0.031,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH03-1 HY09,GC,0,1,-7.9833,-95.0167,3910,0.597,0.344,0.071,0.069,0.004,0.481,0.032,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH03-1 HY05,GC,0,1,2.0167,-95.5,2886,0.605,0.34,0.062,0.061,0.005,0.503,0.029,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH03-1 HY06,GC,0,1,0.0167,-95.4333,3246,0.663,0.224,0.06,0.066,0.007,0.598,0.045,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH01-3 St. 01,GC,0,1,0,-160,5142,0.685,0.251,0.051,0.063,0.006,0.586,0.042,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
KH04-5 SX02,GC,0,1,-0.6667,157.5167,2098,0.729,0.23,0.045,0.067,0.007,0.603,0.047,,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012
TVG10,grab,0,5,-22.1811,-176.602,1921,0.759910732,0.28331704,0.06948833,0.125957963,0.014629122,0.427255905,0.07935164,0.099332996,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012
