# NICOPP Global Ocean Sediment Nitrogen Isotope Database
#----------------------------------------------------------------------- 
#               World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data, 
# plus the Online Resource and date accessed.
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:14114
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/nicopp/nicopp-coretop-data.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#--------------------
# Contribution_Date
#	Date: 2013-03-12 
#--------------------
# Title
#	Study_Name: NICOPP Global Ocean Sediment Nitrogen Isotope Database
#--------------------
# Investigators
#	Investigators: Tesdal, J.-E.; Galbraith, E.D.; Kienast, M.
#--------------------
# Description_and_Notes
# 
# Nitrogen Cycle in the Ocean, Past and Present (NICOPP) database of global ocean marine sedimentary d15N measurements, 
# from both seafloor samples and subseafloor records.
#
# NICOPP is a joint working group of PAGES and IMAGES. NICOPP studies Nitrogen isotope (d15N) dynamics as recorded in 
# the sedimentary record in order to learn about the dynamics of the marine nutrient cycle in the Quaternary and the present. 
# For the seafloor compilation, d15N is given as point measurements along with the corresponding latitude and longitude. 
# Currently, it contains data from about 2,300 samples. The subseafloor compilation includes almost all bulk marine 
# sedimentary d15N records published in the literature. Along with the d15N measurements, we included the corresponding 
# sediment depth, a published age model (if available), nitrogen content (N%), total organic carbon content (Corg%), 
# and dry bulk density. There are currently about 140 d15N records included in the database. The timespans of the given 
# records range from a few hundred years to four million years.
#
# More information on NICOPP: http://www.pages-igbp.org/index.php/workinggroups/nicopp
#
#--------------------
# Publication
#	Authors: J.-E. Tesdal, E.D. Galbraith, and M. Kienast
#       Published_Date_or_YEAR: 2013-01-09
#	Published_Title: Nitrogen isotopes in bulk marine sediment: linking seafloor observations with subseafloor records
#	Journal_Name: Biogeosciences 
#	Volume: 10
#	Issue: 1
#	Pages: 101-118
#	DOI: 10.5194/bg-10-101-2013
#	Abstract: The stable isotopes of nitrogen offer a unique perspective on changes in the nitrogen cycle, past and present. However, the presence of multiple forms of nitrogen in marine sediments can complicate the interpretation of bulk nitrogen isotope measurements. Although the large-scale global patterns of seafloor d15N have been shown to match process-based expectations, small-scale heterogeneity on the seafloor, or alterations of isotopic signals during translation into the subseafloor record, could obscure the primary signals. Here, a public database of nitrogen isotope measurements is described, including both seafloor and subseafloor sediment samples ranging in age from modern to the Pliocene, and used to assess these uncertainties. In general, good agreement is observed between neighbouring seafloor sites within a 100 km radius, with 85% showing differences of < 1 per mil. There is also a good correlation between the d15N of the shallowest (< 5 ka) subseafloor sediments and neighbouring seafloor sites within a 100 km radius (R2 = 0.83), which suggests a reliable translation of sediments into the buried sediment record. Meanwhile, gradual d15N decreases over multiple glacial-interglacial cycles appear to reflect post-depositional alteration in records from the deep sea (below 2000 m). We suggest a simple conceptual model to explain these 100-kyr-timescale changes in well-oxygenated, slowly accumulating sediments, which calls on differential loss rates for pools of organic N with different d15N. We conclude that bulk sedimentary nitrogen isotope records are reliable monitors of past changes in the marine nitrogen cycle at most locations, and could be further improved with a better understanding of systematic post-depositional alteration. Furthermore, geochemical or environmental criteria should be developed in order to effectively identify problematic locations and to account for confounding influences where possible.
#
#---------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant:  
#-------------------- 
# Site_Information 
#       Site_Name:  
#	Location:      
#	Country:  
#	Northernmost_Latitude:  
# 	Southernmost_Latitude:  
# 	Easternmost_Longitude:  
# 	Westernmost_Longitude:   
# 	Elevation:   m 
#------------------   
# Data_Collection  
#	Core_Name:  
#	First_Year:   
#	Last_Year:  
#	Time_Unit:   
#	Core_Length:    
#	Notes: 
#------------------
# Chronology 
#
# 
# 
#------------------
# Variables
# 
# End Description/Documentation (lines begin with #)
# Data lines follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: material, error, units, anomaly, period, archive, detail, method, C or N for Character or Numeric data) 
# Data line format: tab-delimited text, variable short name as header
# 
## core_id	Core ID, , , , , , , , C
## water_depth_m	Water Depth, , , m, , , , , N
## lon 	Longitude, , , deg, , , , , N
## lat 	Latitude, , , deg, , , , , N
## d15N	delta N15, , , permil, , , , , N
## ocean	Ocean, , , , , , , , C
## reference	Author/Reference, , , , , , , , C
## tag	Acidified Tag, , , , , , , , C
#
#------------------
# Data:
# Missing_Values: NA
core_id		water_depth_m	lon	lat	d15N	ocean	reference	tag
SOMA11	S11	85	70.31500	19.98667	7.610	Indian	Calvert and Ivanochko (unpublished)	
SOMA12	S12	270	69.47000	19.70000	9.416	Indian	Calvert and Ivanochko (unpublished)	
SOMA13	S13	76	70.54333	19.81500	11.675	Indian	Calvert and Ivanochko (unpublished)	
SOMA14	S14	440	70.26667	18.65833	10.051	Indian	Calvert and Ivanochko (unpublished)	
SOMA15	S15	85	70.53667	18.85833	8.308	Indian	Calvert and Ivanochko (unpublished)	
SOMA17	S17	78	76.63167	8.38500	9.128	Indian	Calvert and Ivanochko (unpublished)	
SOMA19	S19	870	76.33833	8.28500	8.162	Indian	Calvert and Ivanochko (unpublished)	
SOMA20	S20	1460	75.45833	8.58333	7.282	Indian	Calvert and Ivanochko (unpublished)	
SOMA21	S21	1680	75.75333	8.02167	7.746	Indian	Calvert and Ivanochko (unpublished)	
SOMA22	S22	29	72.08333	17.10000	8.113	Indian	Calvert and Ivanochko (unpublished)	
SOMA3	S03	82	69.64833	20.08583	10.104	Indian	Calvert and Ivanochko (unpublished)	
SOMA4	S04	340	69.39367	19.90528	8.725	Indian	Calvert and Ivanochko (unpublished)	
SOMA6	S06	85	70.68033	18.39750	11.082	Indian	Calvert and Ivanochko (unpublished)	
SOMA7	S07	80	71.27017	18.03583	8.298	Indian	Calvert and Ivanochko (unpublished)	
SOMA8	S08	400	71.77633	17.26583	9.296	Indian	Calvert and Ivanochko (unpublished)	
SOMA9	S09	95	72.13267	17.39528	8.257	Indian	Calvert and Ivanochko (unpublished)	
VS28	M196	973	72.96667	14.41667	6.710	Indian	Calvert and Ivanochko (unpublished)	
VS29	M202	2728	70.83333	13.60000	8.970	Indian	Calvert and Ivanochko (unpublished)	
VS30	M205	3688	68.86667	16.31667	7.500	Indian	Calvert and Ivanochko (unpublished)	
VS32	M221	2793	69.68333	18.41667	6.510	Indian	Calvert and Ivanochko (unpublished)	
VS33	M223	2686	66.85000	19.96667	8.280	Indian	Calvert and Ivanochko (unpublished)	
VS35	M226	1218	67.78333	21.23333	8.260	Indian	Calvert and Ivanochko (unpublished)	
VS36	M226	1218	67.78333	21.23333	8.230	Indian	Calvert and Ivanochko (unpublished)	
VS37	M234	2254	65.23333	22.60000	9.300	Indian	Calvert and Ivanochko (unpublished)	
GeoB 7139		3269	288.01670	-30.20000	11.376	Eastern Pacific	De Pol-Holz et al. (2007)	
7104-6		312	289.51000	-22.87000	13.110	Eastern Pacific	De Pol-Holz et al. (2009)	
7114-1		1380	289.17000	-23.98000	12.250	Eastern Pacific	De Pol-Holz et al. (2009)	
7115-1		536	289.40000	-24.00000	11.770	Eastern Pacific	De Pol-Holz et al. (2009)	
7118-1		461	289.19000	-25.98000	11.040	Eastern Pacific	De Pol-Holz et al. (2009)	
7120-1		4470	288.76000	-26.02000	13.410	Eastern Pacific	De Pol-Holz et al. (2009)	
7121-1		1461	289.10000	-25.98000	11.880	Eastern Pacific	De Pol-Holz et al. (2009)	
7122-2		669	289.16000	-25.98000	11.080	Eastern Pacific	De Pol-Holz et al. (2009)	
7123-1		558	288.95000	-27.28000	10.350	Eastern Pacific	De Pol-Holz et al. (2009)	
7127-1		1443	288.53000	-28.38000	10.920	Eastern Pacific	De Pol-Holz et al. (2009)	
7129-1		476	288.67000	-28.42000	10.730	Eastern Pacific	De Pol-Holz et al. (2009)	
7132-1		3253	288.11000	-28.45000	11.950	Eastern Pacific	De Pol-Holz et al. (2009)	
7133-1		635	288.36000	-29.37000	11.110	Eastern Pacific	De Pol-Holz et al. (2009)	
7134-1		1888	288.23000	-29.72000	11.780	Eastern Pacific	De Pol-Holz et al. (2009)	
7135-1		1435	288.32000	-29.67000	11.490	Eastern Pacific	De Pol-Holz et al. (2009)	
7136-1		3180	287.83000	-29.72000	12.610	Eastern Pacific	De Pol-Holz et al. (2009)	
7137-2		1200	288.27000	-30.17000	11.080	Eastern Pacific	De Pol-Holz et al. (2009)	
7138-1		2726	288.13000	-30.12000	11.230	Eastern Pacific	De Pol-Holz et al. (2009)	
7140-1		345	288.25000	-31.02000	10.290	Eastern Pacific	De Pol-Holz et al. (2009)	
7141-1		241	288.25000	-31.08000	10.300	Eastern Pacific	De Pol-Holz et al. (2009)	
7142-2		480	288.25000	-31.17000	10.520	Eastern Pacific	De Pol-Holz et al. (2009)	
7144-1		1962	288.03000	-31.15000	11.450	Eastern Pacific	De Pol-Holz et al. (2009)	
7147-1		398	288.33000	-31.97000	10.060	Eastern Pacific	De Pol-Holz et al. (2009)	
7150-1		1589	288.05000	-32.27000	11.070	Eastern Pacific	De Pol-Holz et al. (2009)	
7152-1		423	287.89000	-33.80000	10.160	Eastern Pacific	De Pol-Holz et al. (2009)	
7153-1		862	287.84000	-33.78000	10.410	Eastern Pacific	De Pol-Holz et al. (2009)	
7154-2		1384	287.73000	-33.78000	10.630	Eastern Pacific	De Pol-Holz et al. (2009)	
7155-1		2753	287.11000	-34.57000	10.750	Eastern Pacific	De Pol-Holz et al. (2009)	
7156-1		1247	287.49000	-34.58000	10.360	Eastern Pacific	De Pol-Holz et al. (2009)	
7157-1		2112	286.41000	-35.77000	10.130	Eastern Pacific	De Pol-Holz et al. (2009)	
7158-1		1562	286.52000	-35.78000	10.110	Eastern Pacific	De Pol-Holz et al. (2009)	
7159-1		506	286.77000	-35.78000	9.680	Eastern Pacific	De Pol-Holz et al. (2009)	
7160-4		367	286.93000	-36.03000	10.000	Eastern Pacific	De Pol-Holz et al. (2009)	
7161-5		125	286.61000	-36.42000	9.800	Eastern Pacific	De Pol-Holz et al. (2009)	
7162-4		799	286.33000	-36.53000	10.270	Eastern Pacific	De Pol-Holz et al. (2009)	
7163-5		538	286.40000	-36.42000	10.130	Eastern Pacific	De Pol-Holz et al. (2009)	
7166-3		1292	286.23000	-36.47000	10.320	Eastern Pacific	De Pol-Holz et al. (2009)	
7167-4		2064	286.09000	-36.45000	10.520	Eastern Pacific	De Pol-Holz et al. (2009)	
7169-2		3246	285.68000	-37.38000	10.860	Eastern Pacific	De Pol-Holz et al. (2009)	
7170-1		2231	285.86000	-37.38000	10.480	Eastern Pacific	De Pol-Holz et al. (2009)	
7171-2		1383	286.05000	-37.38000	10.390	Eastern Pacific	De Pol-Holz et al. (2009)	
7172-5		297	285.21000	-42.40000	10.000	Eastern Pacific	De Pol-Holz et al. (2009)	
7173-5		160	285.44000	-42.08000	9.790	Eastern Pacific	De Pol-Holz et al. (2009)	
7174-2		1222	285.00000	-42.53000	9.780	Eastern Pacific	De Pol-Holz et al. (2009)	
7175-4		1967	284.79000	-42.45000	9.750	Eastern Pacific	De Pol-Holz et al. (2009)	
7177-3		909	285.16000	-42.57000	9.590	Eastern Pacific	De Pol-Holz et al. (2009)	
7179-1		2760	284.66000	-42.57000	9.620	Eastern Pacific	De Pol-Holz et al. (2009)	
7180-1		3485	284.43000	-43.37000	9.670	Eastern Pacific	De Pol-Holz et al. (2009)	
7181-1		1212	284.72000	-43.37000	9.220	Eastern Pacific	De Pol-Holz et al. (2009)	
7182-1		301	285.08000	-43.37000	9.340	Eastern Pacific	De Pol-Holz et al. (2009)	
7183-2		444	284.87000	-44.05000	9.210	Eastern Pacific	De Pol-Holz et al. (2009)	
7186-1		1171	284.84000	-44.15000	9.290	Eastern Pacific	De Pol-Holz et al. (2009)	
7187-1		476	284.83000	-44.18000	9.220	Eastern Pacific	De Pol-Holz et al. (2009)	
7189-1		868	284.61000	-44.28000	9.070	Eastern Pacific	De Pol-Holz et al. (2009)	
7190-1		3285	284.14000	-44.28000	9.290	Eastern Pacific	De Pol-Holz et al. (2009)	
7191-1		1939	284.41000	-44.27000	9.370	Eastern Pacific	De Pol-Holz et al. (2009)	
7192-1		1014	284.64000	-44.08000	9.280	Eastern Pacific	De Pol-Holz et al. (2009)	
7194-1		308	285.57000	-41.42000	10.040	Eastern Pacific	De Pol-Holz et al. (2009)	
7195-1		521	285.59000	-41.20000	10.170	Eastern Pacific	De Pol-Holz et al. (2009)	
7198-1		2287	285.61000	-38.17000	10.270	Eastern Pacific	De Pol-Holz et al. (2009)	
7202-1		629	286.07000	-38.12000	10.620	Eastern Pacific	De Pol-Holz et al. (2009)	
7203-1		281	286.04000	-38.03000	9.750	Eastern Pacific	De Pol-Holz et al. (2009)	
7207-1		2236	285.63000	-39.07000	10.670	Eastern Pacific	De Pol-Holz et al. (2009)	
7211-1		890	285.73000	-39.93000	10.580	Eastern Pacific	De Pol-Holz et al. (2009)	
7215-1		498	285.93000	-39.80000	10.220	Eastern Pacific	De Pol-Holz et al. (2009)	
7216-1		165	286.06000	-40.03000	9.730	Eastern Pacific	De Pol-Holz et al. (2009)	
7218-1		638	286.12000	-39.90000	9.900	Eastern Pacific	De Pol-Holz et al. (2009)	
7219-1		122	286.42000	-39.82000	9.590	Eastern Pacific	De Pol-Holz et al. (2009)	
IQ02-2		103	289.78000	-21.06000	14.960	Eastern Pacific	De Pol-Holz et al. (2009)	
IQ02-3		86	289.72000	-21.06000	14.640	Eastern Pacific	De Pol-Holz et al. (2009)	
KNR176-2-MC-07G		2883	282.06360	6.82050	4.850	Eastern Pacific	Dubois and Kienast (2011)	
KNR176-2-MC-11D		1844	282.29550	5.44470	4.320	Eastern Pacific	Dubois and Kienast (2011)	
KNR176-2-MC-14G		884	282.38580	4.84670	4.650	Eastern Pacific	Dubois and Kienast (2011)	
KNR176-2-MC-24F		1903	281.77820	3.86100	5.230	Eastern Pacific	Dubois and Kienast (2011)	
KNR176-2-MC-28G		2260	280.20240	2.89350	5.300	Eastern Pacific	Dubois and Kienast (2011)	
KNR176-2-MC-33F		2202	282.03690	4.66680	5.690	Eastern Pacific	Dubois and Kienast (2011)	
KNR182-9-MC-02		120	287.28500	-16.81400	9.630	Eastern Pacific	Dubois and Kienast (2011)	
KNR182-9-MC-08		1870	282.02000	-12.25900	5.450	Eastern Pacific	Dubois and Kienast (2011)	
KNR182-9-MC-09		1512	281.60100	-11.71800	5.520	Eastern Pacific	Dubois and Kienast (2011)	
KNR182-9-MC-14		327	279.67500	-8.16600	5.330	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-14MC		2045	273.55100	5.84650	10.100	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-15MC		904	273.29600	4.61370	8.520	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-20MC		2675	273.51400	3.21230	9.600	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-21MC		2942	273.53700	0.02150	8.520	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-25MC		220	277.21300	-1.85340	6.010	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-29MC		1343	278.00900	-0.51340	6.090	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-35MC		3404	274.99500	4.11980	10.000	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-38MC		1003	275.88700	7.31670	6.720	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-41MC		1370	276.39200	7.85570	6.940	Eastern Pacific	Dubois and Kienast (2011)	
TR163-22		2830	267.60200	0.51500	6.170	Eastern Pacific	Dubois and Kienast (2011)	
TTN013-PC72		4298	220.60000	0.11300	9.020	Eastern Pacific	Dubois and Kienast (2011)	
ME0005A-24JC		2941	273.53687	0.02170	7.140	Eastern Pacific	Dubois et al. (2011)	
ME0005A-27JC		2203	277.21333	-1.85335	5.570	Eastern Pacific	Dubois et al. (2011)	
TR163-19		2348	269.04833	2.25833	8.760	Eastern Pacific	Dubois et al. (2011)	
TR163-31		3205	276.02933	-3.61867	5.060	Eastern Pacific	Dubois et al. (2011)	
ODP 893		576.5	239.96330	34.28750	7.250	Eastern Pacific	Emmer and Thunell (2000)	
010BC			269.27000	-6.71000	8.610	Eastern Pacific	Farrell et al. (1995)	
025BC			269.56000	-6.87000	9.170	Eastern Pacific	Farrell et al. (1995)	
052BC			269.38000	-6.64000	8.790	Eastern Pacific	Farrell et al. (1995)	
076MC			269.53000	-6.57000	8.350	Eastern Pacific	Farrell et al. (1995)	
106BC			269.35000	-7.03000	9.130	Eastern Pacific	Farrell et al. (1995)	
125MC			269.33000	-8.40000	9.260	Eastern Pacific	Farrell et al. (1995)	
162MC			269.54000	-8.76000	8.850	Eastern Pacific	Farrell et al. (1995)	
165BC			269.37000	-8.28000	8.790	Eastern Pacific	Farrell et al. (1995)	
170BC			269.17000	-8.16000	9.170	Eastern Pacific	Farrell et al. (1995)	
173BC			269.35000	-8.66000	9.930	Eastern Pacific	Farrell et al. (1995)	
AMPH-011		3728	246.46700	-7.46700	7.740	Eastern Pacific	Farrell et al. (1995)	
AMPH-016		3240	251.08300	-7.85000	7.400	Eastern Pacific	Farrell et al. (1995)	
AMPH-025		3660	254.11700	-9.05000	8.020	Eastern Pacific	Farrell et al. (1995)	
OC73-1-02		3200	252.38800	-7.28000	6.390	Eastern Pacific	Farrell et al. (1995)	
OC73-3-07		4247	258.93300	-17.86700	12.250	Eastern Pacific	Farrell et al. (1995)	
P7GC		3085	276.00000	2.60000	8.560	Eastern Pacific	Farrell et al. (1995)	
PLDS-001G		3176	257.23500	-3.41500	6.090	Eastern Pacific	Farrell et al. (1995)	
SCAN91GC			273.68000	-0.42000	7.890	Eastern Pacific	Farrell et al. (1995)	
TR163-25TC		2650	271.54700	-1.64800	6.090	Eastern Pacific	Farrell et al. (1995)	
TR163-30TC		3240	275.12300	-3.06700	6.020	Eastern Pacific	Farrell et al. (1995)	
TR163-31TC		3209	276.04700	-3.59700	6.850	Eastern Pacific	Farrell et al. (1995)	
TT199-5-GC26			274.00000	2.72000	9.420	Eastern Pacific	Farrell et al. (1995)	
VNTR01-01PC		3540	250.39200	11.25500	11.520	Eastern Pacific	Farrell et al. (1995)	
VNTR01-02GC		3750	250.25000	7.18500	12.550	Eastern Pacific	Farrell et al. (1995)	
VNTR01-03GC		3728	250.26000	7.16700	13.520	Eastern Pacific	Farrell et al. (1995)	
VNTR01-04GC		3846	249.91500	5.34500	12.770	Eastern Pacific	Farrell et al. (1995)	
VNTR01-05GC		3764	249.42300	2.75500	9.070	Eastern Pacific	Farrell et al. (1995)	
VNTR01-06GC		3765	249.44800	2.76000	10.510	Eastern Pacific	Farrell et al. (1995)	
VNTR01-07GC		3775	249.42700	1.02200	9.010	Eastern Pacific	Farrell et al. (1995)	
VNTR01-08PC		3791	249.52000	0.03700	7.660	Eastern Pacific	Farrell et al. (1995)	
VNTR01-09GC		3860	249.50200	-3.00200	7.290	Eastern Pacific	Farrell et al. (1995)	
VNTR01-10GC		3405	257.98500	-4.50700	7.550	Eastern Pacific	Farrell et al. (1995)	
VNTR01-11GC		3345	264.66500	0.14000	7.360	Eastern Pacific	Farrell et al. (1995)	
VNTR01-12GC		3535	264.93000	-3.01000	6.880	Eastern Pacific	Farrell et al. (1995)	
VNTR01-13GC		3304	269.17700	-3.09200	6.940	Eastern Pacific	Farrell et al. (1995)	
VNTR01-14GC		1944	270.14500	1.48500	6.780	Eastern Pacific	Farrell et al. (1995)	
VNTR01-15GC		1955	270.13800	1.48500	8.290	Eastern Pacific	Farrell et al. (1995)	
VNTR01-16PC		1546	270.27300	2.60500	10.300	Eastern Pacific	Farrell et al. (1995)	
VNTR01-19PC		3448	269.56300	7.91200	10.120	Eastern Pacific	Farrell et al. (1995)	
VNTR01-20GC		3563	265.80300	5.62700	10.150	Eastern Pacific	Farrell et al. (1995)	
VNTR01-21GC		3710	265.39700	9.58800	10.290	Eastern Pacific	Farrell et al. (1995)	
VNTR01-22GC		3500	260.63300	13.00500	10.420	Eastern Pacific	Farrell et al. (1995)	
Y71-03-002		2164	274.84800	7.17200	9.000	Eastern Pacific	Farrell et al. (1995)	
Y71-03-014		2580	274.20000	-1.66800	6.920	Eastern Pacific	Farrell et al. (1995)	
Y71-06-008		5273	282.23800	-13.78000	7.720	Eastern Pacific	Farrell et al. (1995)	
Y71-06-016		6761	285.65500	-16.90800	9.080	Eastern Pacific	Farrell et al. (1995)	
Y71-06-026		4813	283.62700	-15.26800	8.510	Eastern Pacific	Farrell et al. (1995)	
Y71-07-028		4491	274.98800	-11.01700	9.280	Eastern Pacific	Farrell et al. (1995)	
Y71-07-030		4237	271.32300	-10.05200	8.160	Eastern Pacific	Farrell et al. (1995)	
Y71-07-031		4114	268.02800	-9.93200	8.870	Eastern Pacific	Farrell et al. (1995)	
Y71-07-032		3850	266.89800	-10.74500	7.630	Eastern Pacific	Farrell et al. (1995)	
Y71-07-049		3116	249.67800	-11.09200	8.870	Eastern Pacific	Farrell et al. (1995)	
Y71-08-055		6309	280.75300	-11.64200	7.330	Eastern Pacific	Farrell et al. (1995)	
Y71-08-061		5843	279.21800	-9.35000	5.960	Eastern Pacific	Farrell et al. (1995)	
Y71-08-076		5122	278.40000	-8.11700	5.940	Eastern Pacific	Farrell et al. (1995)	
Y71-08-079		6165	278.71700	-7.83300	5.750	Eastern Pacific	Farrell et al. (1995)	
Y71-09-084		4010	274.04700	-5.00000	8.100	Eastern Pacific	Farrell et al. (1995)	
Y71-09-085		3858	272.53500	-5.03200	8.340	Eastern Pacific	Farrell et al. (1995)	
Y71-09-086		3877	269.22300	-5.08000	7.130	Eastern Pacific	Farrell et al. (1995)	
Y71-09-088		3650	260.55800	-5.00700	7.120	Eastern Pacific	Farrell et al. (1995)	
Y71-09-091		3512	255.13700	-5.95200	6.960	Eastern Pacific	Farrell et al. (1995)	
Y71-09-092		3350	253.89000	-6.79500	6.440	Eastern Pacific	Farrell et al. (1995)	
YALOC69-071		2740	273.51800	0.08300	7.800	Eastern Pacific	Farrell et al. (1995)	
YALOC69-083		3759	267.98500	-4.00700	7.310	Eastern Pacific	Farrell et al. (1995)	
YALOC69-084		3748	268.33000	-3.98000	7.240	Eastern Pacific	Farrell et al. (1995)	
YALOC69-086		3245	268.33300	-1.97800	6.510	Eastern Pacific	Farrell et al. (1995)	
YALOC69-104		3892	278.48200	-2.30300	7.210	Eastern Pacific	Farrell et al. (1995)	
E47-03			80.79000	-62.39000	5.100	Southern Ocean	Francois (unpublished)	
E47-04			80.79000	-64.12000	5.600	Southern Ocean	Francois (unpublished)	
E47-22			73.93000	-47.48000	4.700	Southern Ocean	Francois (unpublished)	
E50-08			104.91000	-50.93000	5.000	Southern Ocean	Francois (unpublished)	
E54-06			76.02000	-55.47000	4.500	Southern Ocean	Francois (unpublished)	
V34-48			90.55000	-6.25000	7.500	Southern Ocean	Francois (unpublished)	
E45-08		4583	102.68333	-29.81667	10.800	Southern Ocean	Francois et al. (1992)	
E45-09		4548	102.23333	-29.81667	10.000	Southern Ocean	Francois et al. (1992)	
E45-12		4894	101.00000	-32.70000	11.400	Southern Ocean	Francois et al. (1992)	
E45-16		4313	101.96667	-35.11667	10.100	Southern Ocean	Francois et al. (1992)	
E45-17		4618	102.61667	-36.50000	9.500	Southern Ocean	Francois et al. (1992)	
E45-21		4305	103.71667	-38.98333	9.400	Southern Ocean	Francois et al. (1992)	
E45-24		4047	104.16667	-40.15000	8.600	Southern Ocean	Francois et al. (1992)	
E45-26		3813	105.01667	-41.76667	9.500	Southern Ocean	Francois et al. (1992)	
E45-27		3776	105.55000	-43.31667	6.300	Southern Ocean	Francois et al. (1992)	
E45-29		3819	106.51667	-44.88333	6.700	Southern Ocean	Francois et al. (1992)	
E45-32		3114	109.58333	-50.51667	5.200	Southern Ocean	Francois et al. (1992)	
E45-34		3341	110.43333	-51.95000	5.100	Southern Ocean	Francois et al. (1992)	
E45-39		4371	112.71667	-56.00000	5.100	Southern Ocean	Francois et al. (1992)	
E45-42		4332	113.33333	-57.21667	6.400	Southern Ocean	Francois et al. (1992)	
E45-46			114.95000	-59.73333	5.300	Southern Ocean	Francois et al. (1992)	
E45-47			114.23333	-60.75000	5.100	Southern Ocean	Francois et al. (1992)	
E45-53		4429	113.91667	-58.48333	4.700	Southern Ocean	Francois et al. (1992)	
E45-63		3917	114.25000	-53.43333	5.100	Southern Ocean	Francois et al. (1992)	
E45-64		3822	114.08333	-52.48333	6.000	Southern Ocean	Francois et al. (1992)	
E45-67			114.50000	-49.50000	6.400	Southern Ocean	Francois et al. (1992)	
E45-69		3411	114.61667	-48.85000	6.000	Southern Ocean	Francois et al. (1992)	
E45-70		3683	114.48333	-48.01667	6.500	Southern Ocean	Francois et al. (1992)	
E45-71		3658	114.48333	-48.03333	8.300	Southern Ocean	Francois et al. (1992)	
E45-73		3723	114.41667	-47.53333	8.000	Southern Ocean	Francois et al. (1992)	
E45-74		3804	114.43333	-47.55000	7.800	Southern Ocean	Francois et al. (1992)	
E45-77		3806	114.41667	-46.45000	8.600	Southern Ocean	Francois et al. (1992)	
E45-78		4029	114.35000	-45.03333	7.500	Southern Ocean	Francois et al. (1992)	
E45-79		4097	114.36667	-45.05000	8.800	Southern Ocean	Francois et al. (1992)	
E45-81		4256	114.36667	-43.95000	9.600	Southern Ocean	Francois et al. (1992)	
E45-83		4334	114.43333	-42.58333	8.800	Southern Ocean	Francois et al. (1992)	
E45-86		4301	114.43333	-41.50000	9.900	Southern Ocean	Francois et al. (1992)	
E45-88		4389	114.53333	-40.55000	9.500	Southern Ocean	Francois et al. (1992)	
E45-89		4605	114.53333	-39.51667	9.500	Southern Ocean	Francois et al. (1992)	
E49-06			109.98333	-51.00000	6.000	Southern Ocean	Francois et al. (1992)	
E49-07			110.05000	-53.03333	8.300	Southern Ocean	Francois et al. (1992)	
E49-08			110.01667	-55.06667	6.600	Southern Ocean	Francois et al. (1992)	
E49-10			110.13333	-59.01667	5.500	Southern Ocean	Francois et al. (1992)	
GeoB 4234		1360	346.77333	28.89000	6.500	NE Atlantic	Freudenthal et al. (2001a)	
GeoB 4242		4292	342.11000	29.83167	7.140	NE Atlantic	Freudenthal et al. (2001b)	
GeoB 4301		3614	344.50000	29.15000	6.740	NE Atlantic	Freudenthal et al. (2001b)	
NH15P		420	253.52000	22.68330	8.870	Eastern Pacific	Ganeshram and Pedersen (1998)	
NH22P		2025	253.48617	22.51833	9.020	Eastern Pacific	Ganeshram et al. (1995)	
NH8P		1018	252.92500	22.38800	8.580	Eastern Pacific	Ganeshram et al. (1995)	
CD 38-02		2525	282.93330	-14.93300	8.630	Eastern Pacific	Ganeshram et al. (2000)	
NH11BC		135	253.70833	22.50833	9.500	Eastern Pacific	Ganeshram et al. (2000)	
NH12BC		322	253.53667	22.69500	10.000	Eastern Pacific	Ganeshram et al. (2000)	
NH15BC		425	253.51667	22.68833	9.500	Eastern Pacific	Ganeshram et al. (2000)	
NH17BC		785	253.44833	22.30000	9.500	Eastern Pacific	Ganeshram et al. (2000)	
NH19BC		97	253.74667	22.37000	9.250	Eastern Pacific	Ganeshram et al. (2000)	
NH1BC		110	253.56333	22.93833	9.500	Eastern Pacific	Ganeshram et al. (2000)	
NH2BC		133	253.64000	22.72000	8.800	Eastern Pacific	Ganeshram et al. (2000)	
NH3BC		107	253.71000	22.72500	9.500	Eastern Pacific	Ganeshram et al. (2000)	
NH6BC		620	253.48167	22.61167	9.750	Eastern Pacific	Ganeshram et al. (2000)	
NH7BC		190	253.57167	22.71500	9.950	Eastern Pacific	Ganeshram et al. (2000)	
ODP 1017		955	238.72600	34.53500	7.370	Eastern Pacific	Ganeshram et al. (2000); Hendy et al. (2004)	
