# NOAA Paleoclimatology Program - Paleocean Site Data
# rc27-23-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Mark A. Altabet
# Core/Site:      RC27-23
# Latitude:       17.59.36N	( 17.99333)
# Longitude:      57.35.24E	( 57.59)
# Water Depth(m): 820
#
# Publications:
#   Altabet, M.A., M.J. Higginson, and D.W. Murray. 2002. The effect of millennial-scale
#     changes in Arabian Sea denitrification on atmospheric CO2. Nature 415:159-162.
#------------------
#
# Description & Notes:
#   Arabian Sea Denitrification Data.
#   Substantial millennial-scale variability in Arabian Sea denitrification and productivity
#   is indicated during the last glacial period.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d15N          delta N15
#             N%            Nitrogen percent
#             chlor         Chlorins (µg/g)
#
# CORE: RC27-23
depth	yrBP 	d15N	N%	chlor	
232.5	18713	5.7	0.15	1.45	
234.5	18947	5.78	0.14	1.694	
236.5	19181	5.85	0.15	1.591	
238.5	19414	5.68	0.17	1.7	
240.5	19648	5.73	0.16	1.621	
242.5	19882	5.92	0.17	1.599	
244.5	20116	6.06	0.13	1.674	
246.5	20349	5.59	0.18	1.743	
248.5	20583	6.24	0.17	1.476	
250.5	20764	5.68	0.15	1.564	
252.5	20945	5.62	0.17	1.455	
254.5	21126	5.42	0.16	1.424	
256.5	21307	5.32	0.16	1.304	
258.5	21592	5.82	0.15	1.194	
260.5	21877	6.27	0.18	1.581	
262.5	22162	6.19	0.18	-999	
264.5	22448	6.34	0.17	1.417	
266.5	22733	6.61	0.2	1.688	
268.5	23018	6.13	0.17	1.462	
270.5	23303	7.77	0.22	1.594	
272.5	23403	5.67	0.13	1.367	
274.5	23502	6.53	0.17	-999	
276.5	23602	5.54	0.13	1.174	
278.5	23701	5.6	0.13	1.253	
280.5	23801	5.48	0.14	1.152	
282.5	23900	5.3	0.14	0.954	
284.5	24000	5.28	0.14	0.967	
286.5	24119	5.51	0.15	1.058	
288.5	24239	5.5	0.15	1.2	
290.5	24358	5.46	0.16	1.159	
292.5	24477	5.21	0.16	1.306	
294.5	24597	5.34	0.16	1.462	
296.5	24716	5.66	0.16	1.11	
298.5	24835	5.54	0.16	1.262	
300.5	24955	5.03	0.17	1.309	
302.5	25074	5.16	0.17	1.872	
304.5	25194	5	0.13	1.287	
306.5	25313	5.48	0.15	1.063	
308.5	25432	5.33	0.15	0.989	
310.5	25552	4.98	0.14	1.338	
312.5	25671	4.94	0.15	1.573	
314.5	25790	5.15	0.15	1.197	
316.5	25910	5.34	0.15	1.196	
318.5	26029	5.36	0.17	1.346	
320.5	26148	5.4	0.18	1.306	
322.5	26268	5.59	0.19	-999	
324.5	26387	5.52	0.2	2.093	
326.5	26506	5.57	0.19	1.889	
328.5	26626	5.54	0.15	1.519	
330.5	26745	6.24	0.22	2.057	
332.5	26865	5.53	0.2	1.978	
