# NOAA Paleoclimatology Program - Paleocean Site Data
# rc27-14-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Mark A. Altabet
# Core/Site:      RC27-14
# Latitude:       18.15.12N	( 18.25333)
# Longitude:      57.39.18E	( 57.655)
# Water Depth(m): 596
#
# Publications:
#   Altabet, M.A., M.J. Higginson, and D.W. Murray. 2002. The effect of millennial-scale
#     changes in Arabian Sea denitrification on atmospheric CO2. Nature 415:159-162.
#------------------
#
# Description & Notes:
#   Arabian Sea Denitrification Data.
#   Substantial millennial-scale variability in Arabian Sea denitrification and productivity
#   is indicated during the last glacial period.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d15N          delta N15
#
# CORE: RC27-14
depth	yrBP 	d15N	
437.5	34113	5.75	
438.5	34161	5.47	
439.5	34209	5.64	
440.5	34257	5.17	
442.5	34353	5.8	
443.5	34400	5.78	
444.5	34448	5.81	
445.5	34496	6.04	
446.5	34544	6.77	
447.5	34631	7.71	
448.5	34717	8.07	
449.5	34804	8.17	
450.5	34890	7.61	
451.5	34977	7.42	
452.5	35064	7.93	
453.5	35150	7.93	
454.5	35237	7.22	
455.5	35301	6.64	
456.5	35342	5.94	
457.5	35383	5.85	
458.5	35424	5.52	
459.5	35465	5.8	
460.5	35506	5.82	
461.5	35548	5.85	
462.5	35589	5.54	
463.5	35630	5.5	
464.5	35671	5.84	
465.5	35712	5.98	
466.5	35754	5.9	
467.5	35795	6.04	
468.5	35836	5.98	
469.5	35877	6.22	
470.5	35918	6.26	
471.5	35959	6.14	
472.5	36001	6.05	
473.5	36042	5.99	
474.5	36083	5.92	
475.5	36124	6.23	
476.5	36165	6.24	
477.5	36207	6.26	
478.5	36248	6.3	
479.5	36289	6.29	
482.5	36412	6.53	
483.5	36454	7.63	
484.5	36495	8.51	
485.5	36536	7.05	
486.5	36766	8.6	
487.5	36996	8.59	
488.5	37226	8.33	
489.5	37456	8.49	
490.5	37686	7.92	
491.5	37916	8.32	
492.5	38146	7.77	
493.5	38376	6.98	
494.5	38419	5.08	
495.5	38462	5.8	
496.5	38505	6.09	
497.5	38548	6.07	
498.5	38591	5	
499.5	38634	5.33	
500.5	38676	5.28	
501.5	38719	5.35	
502.5	38762	5.3	
503.5	38805	6.08	
504.5	38848	6.34	
505.5	38891	5.47	
506.5	38934	5.88	
507.5	38977	5.42	
508.5	39020	5.58	
509.5	39063	6.05	
510.5	39106	6.7	
511.5	39149	5.67	
512.5	39192	5.57	
513.5	39235	5.49	
514.5	39277	5.6	
515.5	39320	5.44	
516.5	39363	5.82	
517.5	39406	5.85	
518.5	39449	6.11	
519.5	39492	6.28	
520.5	39535	5.98	
521.5	39578	6.23	
522.5	39621	5.94	
523.5	39664	5.99	
524.5	39707	6.11	
525.5	39750	5.92	
526.5	39793	6.16	
527.5	39836	6.16	
528.5	39878	6.08	
529.5	39921	6.33	
530.5	39964	6.33	
531.5	40007	6.09	
532.5	40050	6.12	
533.5	40093	6.25	
534.5	40136	6.25	
535.5	40179	6.28	
536.5	40222	6.29	
537.5	40265	5.97	
538.5	40308	5.99	
539.5	40351	5.71	
540.5	40394	6.29	
541.5	40437	5.97	
542.5	40479	6.16	
543.5	40522	5.89	
544.5	40565	6.11	
545.5	40608	6.01	
546.5	40651	6.21	
547.5	40694	6.54	
548.5	40737	6.89	
549.5	40799	7.36	
550.5	40861	7.29	
551.5	40923	7.93	
552.5	40986	7.9	
553.5	41048	7.35	
554.5	41110	7.31	
555.5	41172	7.13	
556.5	41206	6.58	
557.5	41240	5.64	
558.5	41274	5.48	
559.5	41308	6.15	
560.5	41342	5.6	
